Department,SheetNo.,SheetName,ActionType,Item Code,Item Name,Upload date,Trans.Status,PersonalName,Trans.Date,Trans.Time,Scanned,Deletion,Deletion date
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.03286E+12,ADORE PEARL COLOR LENSES GREY,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,5.90763E+12,AQUA MASSAGE KIDS SOFT SPONGE /608116,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.00899E+12,AQUA MASSAGE SENS.EX.GENTLE MITT /956,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,74764471161,ARDELL DOUBLE UP BLACK /203#,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,74764407108,ARDELL DURALASH FLARE SHORT BLACK,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,74764608109,ARDELL FASHION NAT.LASHES BLACK/108,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,74764625106,ARDELL NATURAL LASHES BLACK/125,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,74764680259,ARDELL STRIP LASHES CLEAR ADHESIVE 7G,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,74764652461,ARDELL STUDIO EFFECTS WISPIES#,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.72069E+12,AVENT NAT.RESP.FEED.BOT.(1M+)260M/SCY903,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.72069E+12,AVENT NAT.RESP.FEED.BOT.(3M+)330M/SCY903,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.72069E+12,AVENT NAT.RESPONSE TEAT(1M+)2PC/SCY963,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.72069E+12,AVENT NAT.RESPONSE TEAT(3M+)2PC/SCY964,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.72069E+12,AVENT NAT.RESPONSE TEAT(6M+)2PC/SCY965,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.7101E+12,AVENT U.A.HAPP.SOOT.(0-6)M 2P/SCF080/02#,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.7101E+12,AVENT U.A.HAPPY SOOT.(0-6)M 2P/SCF080/01,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2702021,BELLA DIAMOND COLOR LENSES ALLURE BLONDE,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2702020,BELLA DIAMOND COLOR LENSES GRAY GREEN,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2704355,BELLA ELITE COLOR LENSES GRAY BEIGE,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2704361,BELLA ELITE COLOR LENSES SANDY GRAY,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2706098,BELLA ELITE COLOR LENSES SILKY GRAY,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2702053,BELLA GLOW COLOR LENSES RADIANT HAZELNUT,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2708764,BELLA ONE DAY COLOR C.LENSES ALMON.BROWN,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,2706002,BELLA ONE DAY COLOR C.LENSES BLUISH GRAY,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,8.41212E+12,BETER CUSHION BRUSH/03242,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
NonPharma,VjWXBRl6ci,مراجعة اماكن وجود - ترانزيت,Edit,6.224E+12,BG LONG LASTING CONCEALER 9M/107#,23/09/2026 14:10,Done,10000522,24/09/2026,10:45:22,,,
