Department,SheetNo.,SheetName,ActionType,Item Code,Item Name,Upload date,Trans.Status,PersonalName,Trans.Date,Trans.Time,Deletion,Deletion date
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,110,COTTON MEDICAL 100G,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,5803,TS ADIDAS GET READY EDT F/M 100M,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,6251,TS BOSS HUGO T.SCENT INTENSE EDP F/M100M,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,6279,TS C.HERRERA GOOD GIRL LEGERE EDP F/W80M,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,34149,PE.MERRY CHRISTMAS WARD DECORATIO.SMALL™,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,260708,CH. 555 NORMAL LEMON EDC 260M#,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,260855,555 EDC 250M#,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,261915,NIZAPEX SHAMP.80M,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,270662,PE.RUDOLF BABY MERRY CHRISTMAS OUTFIT™,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,282425,JUSTIN BLUE ANTI-DAND SHAMP.175M,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,323152,SOFT CARE FULL L.SILIC.INSOLE(46)SI500D▓,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,370273,JASPER BIO ANKLE SUPPORT  XL (SB006)▓,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,370748,FIRST AID BAG(NOT FOR SALE)▓,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,2700552,B.C CEN BABY YOU&ME STROLLER/B692L™,,Done,10000522,21/09/2026,15:03:59,,
NonPharma,8PxTKSapbD,اصناف لها رصيد وليس لها مكان وجود,,2702974,BELCLINIC HYDRA PLUS MOIST.CR 2X50M@#,,Done,10000522,21/09/2026,15:03:59,,
